support,itemsets,length
0.01,"frozenset({('sugar',), ('coffee',), ('waffles',), ('domestic eggs',)})",4
0.01,"frozenset({('sugar',), ('coffee',), ('brown bread',), ('candy',)})",4
0.01,"frozenset({('sugar',), ('coffee',), ('domestic eggs',), ('candy',)})",4
0.01,"frozenset({('sugar',), ('coffee',), ('brown bread',), ('domestic eggs',)})",4
0.01,"frozenset({('root vegetables',), ('coffee',), ('waffles',), ('pastry',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('coffee',), ('pastry',)})",4
0.01,"frozenset({('root vegetables',), ('coffee',), ('brown bread',), ('pastry',)})",4
0.01,"frozenset({('root vegetables',), ('pastry',), ('coffee',), ('domestic eggs',)})",4
0.01,"frozenset({('candy',), ('coffee',), ('waffles',), ('pastry',)})",4
0.01,"frozenset({('coffee',), ('waffles',), ('brown bread',), ('pastry',)})",4
0.01,"frozenset({('pastry',), ('coffee',), ('waffles',), ('domestic eggs',)})",4
0.01,"frozenset({('candy',), ('coffee',), ('brown bread',), ('pastry',)})",4
0.01,"frozenset({('candy',), ('pastry',), ('coffee',), ('domestic eggs',)})",4
0.01,"frozenset({('pastry',), ('coffee',), ('brown bread',), ('domestic eggs',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('coffee',), ('waffles',)})",4
0.01,"frozenset({('root vegetables',), ('coffee',), ('waffles',), ('brown bread',)})",4
0.01,"frozenset({('root vegetables',), ('coffee',), ('waffles',), ('domestic eggs',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('coffee',), ('brown bread',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('coffee',), ('domestic eggs',)})",4
0.01,"frozenset({('root vegetables',), ('coffee',), ('brown bread',), ('domestic eggs',)})",4
0.01,"frozenset({('candy',), ('coffee',), ('waffles',), ('brown bread',)})",4
0.01,"frozenset({('candy',), ('coffee',), ('waffles',), ('domestic eggs',)})",4
0.01,"frozenset({('coffee',), ('waffles',), ('brown bread',), ('domestic eggs',)})",4
0.01,"frozenset({('candy',), ('coffee',), ('brown bread',), ('domestic eggs',)})",4
0.01,"frozenset({('pork',), ('coffee',), ('hamburger meat',), ('berries',)})",4
0.01,"frozenset({('pork',), ('coffee',), ('whipped/sour cream',), ('hamburger meat',)})",4
0.01,"frozenset({('pork',), ('onions',), ('coffee',), ('hamburger meat',)})",4
0.01,"frozenset({('whipped/sour cream',), ('coffee',), ('hamburger meat',), ('berries',)})",4
0.01,"frozenset({('onions',), ('coffee',), ('hamburger meat',), ('berries',)})",4
0.01,"frozenset({('whipped/sour cream',), ('onions',), ('coffee',), ('hamburger meat',)})",4
0.01,"frozenset({('whipped/sour cream',), ('coffee',), ('pork',), ('berries',)})",4
0.01,"frozenset({('onions',), ('coffee',), ('pork',), ('berries',)})",4
0.01,"frozenset({('whipped/sour cream',), ('onions',), ('coffee',), ('pork',)})",4
0.01,"frozenset({('whipped/sour cream',), ('onions',), ('coffee',), ('berries',)})",4
0.01,"frozenset({('chocolate',), ('pip fruit',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('pip fruit',), ('rolls/buns',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('pip fruit',), ('rolls/buns',), ('pickled vegetables',), ('whole milk',)})",4
0.01,"frozenset({('pip fruit',), ('rolls/buns',), ('frozen potato products',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('pip fruit',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('pip fruit',), ('pickled vegetables',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('pip fruit',), ('frozen potato products',), ('whole milk',)})",4
0.01,"frozenset({('pip fruit',), ('pickled vegetables',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('pip fruit',), ('frozen potato products',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('pip fruit',), ('pickled vegetables',), ('frozen potato products',)})",4
0.01,"frozenset({('long life bakery product',), ('other vegetables',), ('condensed milk',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('soda',), ('abrasive cleaner',), ('other vegetables',)})",4
0.01,"frozenset({('whole milk',), ('abrasive cleaner',), ('pork',), ('other vegetables',)})",4
0.01,"frozenset({('whole milk',), ('abrasive cleaner',), ('berries',), ('other vegetables',)})",4
0.01,"frozenset({('whipped/sour cream',), ('abrasive cleaner',), ('whole milk',), ('other vegetables',)})",4
0.01,"frozenset({('whole milk',), ('abrasive cleaner',), ('artif. sweetener',), ('other vegetables',)})",4
0.01,"frozenset({('sugar',), ('other vegetables',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('other vegetables',), ('pork',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('other vegetables',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whipped/sour cream',), ('soda',), ('other vegetables',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('soda',), ('other vegetables',), ('artif. sweetener',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('other vegetables',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('other vegetables',), ('beverages',), ('whole milk',)})",4
0.01,"frozenset({('other vegetables',), ('detergent',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('other vegetables',), ('detergent',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('canned fish',), ('other vegetables',), ('detergent',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('other vegetables',), ('detergent',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('other vegetables',), ('beverages',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('other vegetables',), ('dessert',), ('whole milk',)})",4
0.01,"frozenset({('other vegetables',), ('frozen vegetables',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('other vegetables',), ('canned fish',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('other vegetables',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('pork',), ('other vegetables',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whipped/sour cream',), ('other vegetables',), ('pork',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('other vegetables',), ('pork',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('other vegetables',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('other vegetables',), ('berries',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('other vegetables',), ('whole milk',), ('artif. sweetener',)})",4
0.01,"frozenset({('whole milk',), ('ham',), ('grapes',), ('other vegetables',)})",4
0.01,"frozenset({('other vegetables',), ('canned fish',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('other vegetables',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('other vegetables',), ('canned fish',), ('whole milk',)})",4
0.01,"frozenset({('butter',), ('abrasive cleaner',), ('rice',), ('whole milk',)})",4
0.01,"frozenset({('butter',), ('bottled water',), ('curd',), ('whole milk',)})",4
0.01,"frozenset({('butter',), ('flour',), ('bottled water',), ('whole milk',)})",4
0.01,"frozenset({('butter',), ('bottled water',), ('dishes',), ('whole milk',)})",4
0.01,"frozenset({('butter',), ('flour',), ('curd',), ('whole milk',)})",4
0.01,"frozenset({('butter',), ('curd',), ('dishes',), ('whole milk',)})",4
0.01,"frozenset({('flour',), ('butter',), ('dishes',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('butter',), ('specialty fat',), ('specialty chocolate',)})",4
0.01,"frozenset({('butter',), ('specialty fat',), ('candles',), ('whole milk',)})",4
0.01,"frozenset({('butter',), ('flower (seeds)',), ('specialty fat',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('butter',), ('candles',), ('specialty chocolate',)})",4
0.01,"frozenset({('butter',), ('flower (seeds)',), ('whole milk',), ('specialty chocolate',)})",4
0.01,"frozenset({('butter',), ('flower (seeds)',), ('candles',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('abrasive cleaner',), ('pork',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('abrasive cleaner',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whipped/sour cream',), ('soda',), ('abrasive cleaner',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('soda',), ('abrasive cleaner',), ('artif. sweetener',)})",4
0.01,"frozenset({('abrasive cleaner',), ('pork',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whipped/sour cream',), ('abrasive cleaner',), ('pork',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('abrasive cleaner',), ('pork',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('abrasive cleaner',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('abrasive cleaner',), ('berries',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('abrasive cleaner',), ('whole milk',), ('artif. sweetener',)})",4
0.01,"frozenset({('chocolate',), ('rolls/buns',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('pickled vegetables',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('rolls/buns',), ('frozen potato products',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('rolls/buns',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('rolls/buns',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('rolls/buns',), ('domestic eggs',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('oil',), ('rolls/buns',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('frozen vegetables',), ('rolls/buns',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('rolls/buns',), ('fruit/vegetable juice',), ('canned vegetables',)})",4
0.01,"frozenset({('bathroom cleaner',), ('rolls/buns',), ('root vegetables',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('rolls/buns',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('oil',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('frozen vegetables',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('root vegetables',), ('rolls/buns',), ('canned vegetables',)})",4
0.01,"frozenset({('bathroom cleaner',), ('rolls/buns',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('oil',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('frozen vegetables',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('rolls/buns',), ('canned vegetables',)})",4
0.01,"frozenset({('pickled vegetables',), ('rolls/buns',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('rolls/buns',), ('frozen potato products',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('oil',), ('rolls/buns',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('frozen vegetables',), ('rolls/buns',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('rolls/buns',), ('domestic eggs',), ('canned vegetables',)})",4
0.01,"frozenset({('pickled vegetables',), ('rolls/buns',), ('frozen potato products',), ('whole milk',)})",4
0.01,"frozenset({('oil',), ('frozen vegetables',), ('rolls/buns',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('oil',), ('rolls/buns',), ('canned vegetables',)})",4
0.01,"frozenset({('whole milk',), ('frozen vegetables',), ('rolls/buns',), ('canned vegetables',)})",4
0.01,"frozenset({('sugar',), ('soda',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('cereals',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('soda',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('waffles',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('soda',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('cereals',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('cereals',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('cereals',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('waffles',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('cereals',), ('candy',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('cereals',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('cereals',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('cereals',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('waffles',), ('cereals',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('cereals',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('cereals',), ('brown bread',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('pastry',), ('cereals',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('waffles',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('cereals',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('cereals',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('waffles',), ('cereals',), ('whole milk',)})",4
0.01,"frozenset({('cereals',), ('waffles',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('waffles',), ('cereals',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('cereals',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('cereals',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('cereals',), ('brown bread',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('flour',), ('bottled water',), ('curd',), ('whole milk',)})",4
0.01,"frozenset({('bottled water',), ('dishes',), ('curd',), ('whole milk',)})",4
0.01,"frozenset({('flour',), ('bottled water',), ('dishes',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('pickled vegetables',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('frozen potato products',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('chocolate',), ('pickled vegetables',), ('frozen potato products',), ('whole milk',)})",4
0.01,"frozenset({('flour',), ('curd',), ('dishes',), ('whole milk',)})",4
0.01,"frozenset({('curd',), ('butter milk',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('newspapers',), ('frankfurter',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('newspapers',), ('oil',), ('frankfurter',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('newspapers',), ('frankfurter',), ('specialty chocolate',)})",4
0.01,"frozenset({('newspapers',), ('frankfurter',), ('sparkling wine',), ('whole milk',)})",4
0.01,"frozenset({('oil',), ('frankfurter',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('frankfurter',), ('domestic eggs',), ('specialty chocolate',)})",4
0.01,"frozenset({('frankfurter',), ('domestic eggs',), ('sparkling wine',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('oil',), ('frankfurter',), ('specialty chocolate',)})",4
0.01,"frozenset({('oil',), ('frankfurter',), ('sparkling wine',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('frankfurter',), ('sparkling wine',), ('specialty chocolate',)})",4
0.01,"frozenset({('sugar',), ('soda',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('soda',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('soda',), ('waffles',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('soda',), ('candy',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('soda',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('soda',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('soda',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('waffles',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('soda',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('brown bread',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('pastry',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('processed cheese',), ('pickled vegetables',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('soda',), ('waffles',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('soda',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('soda',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('soda',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('soda',), ('waffles',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('waffles',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('waffles',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('soda',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('soda',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('brown bread',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('soda',), ('pork',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whipped/sour cream',), ('soda',), ('pork',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('soda',), ('pork',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('soda',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('soda',), ('berries',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('soda',), ('whole milk',), ('artif. sweetener',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('waffles',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('pastry',), ('candy',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('brown bread',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('pastry',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('waffles',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('candy',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('beverages',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('root vegetables',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('waffles',), ('candy',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('waffles',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('waffles',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('brown bread',), ('candy',), ('whole milk',)})",4
0.01,"frozenset({('sugar',), ('whole milk',), ('domestic eggs',), ('candy',)})",4
0.01,"frozenset({('sugar',), ('brown bread',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('fruit/vegetable juice',), ('root vegetables',)})",4
0.01,"frozenset({('root vegetables',), ('domestic eggs',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('oil',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('frozen vegetables',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('root vegetables',), ('fruit/vegetable juice',), ('canned vegetables',)})",4
0.01,"frozenset({('bathroom cleaner',), ('domestic eggs',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('oil',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('frozen vegetables',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('fruit/vegetable juice',), ('canned vegetables',)})",4
0.01,"frozenset({('oil',), ('domestic eggs',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('frozen vegetables',), ('domestic eggs',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('domestic eggs',), ('fruit/vegetable juice',), ('canned vegetables',)})",4
0.01,"frozenset({('oil',), ('frozen vegetables',), ('fruit/vegetable juice',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('oil',), ('fruit/vegetable juice',), ('canned vegetables',)})",4
0.01,"frozenset({('whole milk',), ('frozen vegetables',), ('fruit/vegetable juice',), ('canned vegetables',)})",4
0.01,"frozenset({('newspapers',), ('oil',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('newspapers',), ('domestic eggs',), ('specialty chocolate',)})",4
0.01,"frozenset({('newspapers',), ('domestic eggs',), ('sparkling wine',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('newspapers',), ('oil',), ('specialty chocolate',)})",4
0.01,"frozenset({('newspapers',), ('oil',), ('sparkling wine',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('newspapers',), ('sparkling wine',), ('specialty chocolate',)})",4
0.01,"frozenset({('root vegetables',), ('waffles',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('brown bread',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('pastry',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('waffles',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('waffles',), ('brown bread',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('pastry',), ('waffles',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('brown bread',), ('pastry',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('pastry',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('pastry',), ('brown bread',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('detergent',), ('salty snack',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('canned fish',), ('detergent',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('detergent',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('canned fish',), ('detergent',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('detergent',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('canned fish',), ('detergent',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('waffles',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('waffles',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('waffles',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('root vegetables',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('domestic eggs',), ('root vegetables',)})",4
0.01,"frozenset({('bathroom cleaner',), ('oil',), ('root vegetables',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('frozen vegetables',), ('root vegetables',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('root vegetables',), ('canned vegetables',)})",4
0.01,"frozenset({('root vegetables',), ('brown bread',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('oil',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('root vegetables',), ('frozen vegetables',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('root vegetables',), ('domestic eggs',), ('canned vegetables',)})",4
0.01,"frozenset({('root vegetables',), ('oil',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('root vegetables',), ('oil',), ('canned vegetables',)})",4
0.01,"frozenset({('whole milk',), ('root vegetables',), ('frozen vegetables',), ('canned vegetables',)})",4
0.01,"frozenset({('canned fish',), ('frozen vegetables',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('frozen vegetables',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('seasonal products',), ('canned fish',), ('salty snack',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('waffles',), ('brown bread',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('waffles',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('waffles',), ('brown bread',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('candy',), ('brown bread',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('oil',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('bathroom cleaner',), ('frozen vegetables',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('domestic eggs',), ('canned vegetables',)})",4
0.01,"frozenset({('bathroom cleaner',), ('oil',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('oil',), ('canned vegetables',)})",4
0.01,"frozenset({('whole milk',), ('bathroom cleaner',), ('frozen vegetables',), ('canned vegetables',)})",4
0.01,"frozenset({('whipped/sour cream',), ('pork',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('pork',), ('berries',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('whole milk',), ('pork',), ('artif. sweetener',)})",4
0.01,"frozenset({('whipped/sour cream',), ('whole milk',), ('berries',), ('artif. sweetener',)})",4
0.01,"frozenset({('pickled vegetables',), ('frozen potato products',), ('berries',), ('whole milk',)})",4
0.01,"frozenset({('oil',), ('frozen vegetables',), ('domestic eggs',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('oil',), ('domestic eggs',), ('specialty chocolate',)})",4
0.01,"frozenset({('oil',), ('domestic eggs',), ('sparkling wine',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('oil',), ('domestic eggs',), ('canned vegetables',)})",4
0.01,"frozenset({('whole milk',), ('frozen vegetables',), ('domestic eggs',), ('canned vegetables',)})",4
0.01,"frozenset({('whole milk',), ('domestic eggs',), ('sparkling wine',), ('specialty chocolate',)})",4
0.01,"frozenset({('whole milk',), ('oil',), ('frozen vegetables',), ('canned vegetables',)})",4
0.01,"frozenset({('whole milk',), ('oil',), ('sparkling wine',), ('specialty chocolate',)})",4
0.01,"frozenset({('seasonal products',), ('canned fish',), ('frozen vegetables',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('specialty fat',), ('candles',), ('specialty chocolate',)})",4
0.01,"frozenset({('whole milk',), ('flower (seeds)',), ('specialty fat',), ('specialty chocolate',)})",4
0.01,"frozenset({('flower (seeds)',), ('specialty fat',), ('candles',), ('whole milk',)})",4
0.01,"frozenset({('whole milk',), ('flower (seeds)',), ('candles',), ('specialty chocolate',)})",4
0.01,"frozenset({('chocolate',), ('pip fruit',), ('rolls/buns',), ('berries',)})",4
